quadrant,year,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
SE,2002,EMA_alpha0.5,9,0.2,11,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,-0.2,7,0.0,Equilibrium
SE,2002,Boxcar_W5,9,0.01,9,0.0,Equilibrium
SE,2002,Boxcar_W5,9,-0.01,9,0.0,Equilibrium
SE,2002,Boxcar_W5,9,0.05,9,0.0,Equilibrium
SE,2002,Boxcar_W5,9,-0.05,9,0.0,Equilibrium
SE,2002,Boxcar_W5,9,0.1,10,0.0,Equilibrium
SE,2002,Boxcar_W5,9,-0.1,8,0.0,Equilibrium
SE,2002,Boxcar_W5,9,0.2,11,0.0,Equilibrium
SE,2002,Boxcar_W5,9,-0.2,7,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,0.01,10,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,-0.01,10,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,0.05,10,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,-0.05,10,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,0.1,11,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,-0.1,9,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,0.2,12,0.0,Equilibrium
SE,2003,EMA_alpha0.5,10,-0.2,8,0.0,Equilibrium
SE,2003,Boxcar_W5,10,0.01,10,0.0,Equilibrium
SE,2003,Boxcar_W5,10,-0.01,10,0.0,Equilibrium
SE,2003,Boxcar_W5,10,0.05,10,0.0,Equilibrium
SE,2003,Boxcar_W5,10,-0.05,10,0.0,Equilibrium
SE,2003,Boxcar_W5,10,0.1,11,0.0,Equilibrium
SE,2003,Boxcar_W5,10,-0.1,9,0.0,Equilibrium
SE,2003,Boxcar_W5,10,0.2,12,0.0,Equilibrium
SE,2003,Boxcar_W5,10,-0.2,8,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,0.01,13,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,-0.01,13,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,0.05,14,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,-0.05,12,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,0.1,14,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,-0.1,12,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,0.2,16,0.0,Equilibrium
SE,2004,EMA_alpha0.5,13,-0.2,10,0.0,Equilibrium
SE,2004,Boxcar_W5,13,0.01,13,0.0,Equilibrium
SE,2004,Boxcar_W5,13,-0.01,13,0.0,Equilibrium
SE,2004,Boxcar_W5,13,0.05,14,0.0,Equilibrium
SE,2004,Boxcar_W5,13,-0.05,12,0.0,Equilibrium
SE,2004,Boxcar_W5,13,0.1,14,0.0,Equilibrium
SE,2004,Boxcar_W5,13,-0.1,12,0.0,Equilibrium
SE,2004,Boxcar_W5,13,0.2,16,0.0,Equilibrium
SE,2004,Boxcar_W5,13,-0.2,10,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,0.01,8,0.0,Equilibrium
