b,levina_mle,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,d_s
43,7.992511455306,0.2,17,True,0.15147245715438043,0.028917123974974587,0.30294491430876086
43,7.992511455306,0.4,58,True,0.2589551515204337,0.03334813948010892,0.5179103030408674
44,7.879946387234554,0.1,8,True,0.10206214701126023,0.024073283925893176,0.20412429402252047
44,7.879946387234554,0.2,16,True,0.14181273811711403,0.027869908932979005,0.28362547623422807
44,7.879946387234554,0.4,58,True,0.24880343707078426,0.03275026953454343,0.4976068741415685
45,7.956613159711417,0.1,8,True,0.1057186228879448,0.024615920068001257,0.2114372457758896
45,7.956613159711417,0.2,16,True,0.14683832742955452,0.028519242168919094,0.29367665485910904
45,7.956613159711417,0.4,60,True,0.2615667121626593,0.03341803351849258,0.5231334243253186
46,7.920921171603077,0.1,8,True,0.1076901668098258,0.025014157740701086,0.2153803336196516
46,7.920921171603077,0.2,16,True,0.14945449424140764,0.029001390762542597,0.2989089884828153
46,7.920921171603077,0.4,57,True,0.2607204514575068,0.03372379265882398,0.5214409029150135
47,7.938710249407674,0.1,8,True,0.10803040895560673,0.02516534610759492,0.21606081791121345
47,7.938710249407674,0.2,16,True,0.15018265064717223,0.02883552945765047,0.30036530129434447
47,7.938710249407674,0.4,58,True,0.26354423958891426,0.03370121496979963,0.5270884791778285
48,7.954417647928173,0.1,8,True,0.10475904052471705,0.02465356178124855,0.2095180810494341
48,7.954417647928173,0.2,16,True,0.14570353078450482,0.02837123110449901,0.29140706156900964
48,7.954417647928173,0.4,59,True,0.2574937318611896,0.03329033973533207,0.5149874637223792
49,7.99842146196833,0.1,8,True,0.10978750529211966,0.0252359433737818,0.2195750105842393
49,7.99842146196833,0.2,17,True,0.1566883639702985,0.02955480321215599,0.313376727940597
49,7.99842146196833,0.4,58,True,0.26809495937355576,0.0338132991556126,0.5361899187471115
50,7.918341991999484,0.1,8,True,0.10382708381749618,0.024327165845278206,0.20765416763499236
50,7.918341991999484,0.2,16,True,0.14425940609383645,0.028133728074710398,0.2885188121876729
