series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,132,6,max,13,50,3.002790085966658,3.2009925600749773,0.34973308324146785,2.784988340083043,3.1744527737819768,3.6766185160928537,1000
S0,132,6,max,14,50,3.070675747488249,3.2885149717518094,0.3656828193979187,2.861797623346291,3.260916556094802,3.743946345910883,1000
S0,132,6,max,15,50,3.1380158749868396,3.3288465449123383,0.3706206882000203,2.894558494820655,3.2991366821200465,3.8147545597518904,1000
S0,132,6,max,16,50,3.200771176737349,3.385546562787203,0.38414311475529866,2.9133404667139895,3.3773645044967306,3.8983713117834236,1000
S0,132,6,max,17,50,3.262276738571933,3.445656019253364,0.40461773493301634,2.962514964013499,3.4034853800221176,3.9536376457460176,1000
S0,132,6,max,18,50,3.3151744402282,3.4871469704244857,0.41991256300344804,2.993815111647371,3.4481125369851178,4.0387819004794165,1000
S0,132,6,max,19,50,3.365459189313662,3.539190625825103,0.4168740398676115,3.0516569474067197,3.5059186940178635,4.064876677376216,1000
S0,132,6,max,20,50,3.415296957164375,3.5746296828254693,0.44061890701272993,3.0466675626803985,3.526706599546693,4.166349118536295,1000
S0,132,6,unknown,5,13,1.5324974262445656,1.6000730805078325,0.19089143348923882,1.3921352518592616,1.576853807250043,1.8385253298207724,1000
S0,132,6,unknown,6,13,1.578741737423761,1.647890870480425,0.2120201992503338,1.4164429527470068,1.614910031128738,1.9036033492735,1000
S0,132,6,unknown,7,13,1.6248934526242527,1.688566514947429,0.2068666810986341,1.4543317692518722,1.6576597648074125,1.9510352587524762,1000
S0,132,6,unknown,8,13,1.6692522220455628,1.6875269367950663,0.20622045571912972,1.4476105575841194,1.6711268615548156,1.9545896457260672,1000
S0,132,6,unknown,9,13,1.707569637283415,1.704617866026752,0.2112651785359696,1.4613267520778792,1.6784261572023569,1.969986937922204,1000
S0,132,6,unknown,10,13,1.7359149157291114,1.6993994349392438,0.2191519381189063,1.4720446801259897,1.6761517244196953,1.9684874019016272,1000
S0,132,6,unknown,11,13,1.7591801116287624,1.7061484786392458,0.21052072549100934,1.4615715977106833,1.6866336555943515,1.9695919962201935,1000
