series,W,G,phase,k,n_windows_x,PR_point_x,PR_mean_orig,PR_std_orig,PR_10_x,PR_50_x,PR_90_x,n_bootstrap_effective_x,n_windows_y,PR_point_y,PR_mean_corr,PR_std_corr,PR_10_y,PR_50_y,PR_90_y,n_bootstrap_effective_y,diff_PR_mean,rel_diff_PR_mean
S0,264,6,unknown,12,13,2.036526578853729,1.881569782249061,0.2008905244200788,1.6294969153475138,1.867881922725968,2.153801118949589,1000,13,2.04253895012404,1.8865972237742727,0.201639361819312,1.6344790989851203,1.870412685962075,2.1604607917630294,1000,0.00502744152521184,0.0026719399793944843
S0,264,6,unknown,13,13,2.036526578853729,1.870856390035008,0.193259339178752,1.626038789950684,1.8659856764993965,2.1168062003728507,1000,13,2.0425389501240407,1.876521519851331,0.1937055709689696,1.6266437894795132,1.871789321846212,2.1213610575601014,1000,0.005665129816323056,0.003028094431244425
S0,264,6,unknown,14,13,2.0365265788537297,1.873884192792066,0.2022874614320595,1.6113610410583776,1.8776783576368732,2.1242894420682115,1000,13,2.0425389501240416,1.8790580002917536,0.2023052626583145,1.6183659171733495,1.8830536440074024,2.126126343308249,1000,0.005173807499687655,0.0027610070673464303
S0,264,6,unknown,15,13,2.0365265788537306,1.8821558973093324,0.2042910169845208,1.6237200741983917,1.8773043326813563,2.150200834905239,1000,13,2.0425389501240416,1.8874718361414915,0.2046074515764632,1.63117966270955,1.8787872266506955,2.1602942206762985,1000,0.005315938832159084,0.0028243881602786325
S0,264,6,unknown,16,13,2.036526578853731,1.8747180938391572,0.2026544965641697,1.611890009610375,1.87362780389667,2.147927218883303,1000,13,2.0425389501240416,1.88010171832658,0.2032967239437294,1.6200585614874756,1.8770420201028044,2.1505779733584007,1000,0.0053836244874228,0.002871698152972909
S0,264,6,unknown,17,13,2.0365265788537315,1.8837474025421352,0.1952840462234118,1.6350517285723167,1.8781513093321869,2.145272537736556,1000,13,2.0425389501240425,1.8892761926475936,0.1956840799923279,1.6388718653643963,1.883077356366468,2.148443334245559,1000,0.00552879010545837,0.002934995476568257
S0,264,6,unknown,18,13,2.036526578853732,1.8627502569016512,0.1978653629227667,1.611567811862901,1.8587320637230476,2.1272166422453,1000,13,2.042538950124043,1.8681176061359552,0.1984563041104182,1.6170336388859805,1.862754443990842,2.13447215271055,1000,0.005367349234304042,0.0028814110825740313
S0,264,6,unknown,19,13,2.036526578853732,1.8774815517632333,0.1995461446351976,1.6085026337196695,1.86767086798182,2.135156370445229,1000,13,2.042538950124043,1.882941589735733,0.1999286399216364,1.6152548049022464,1.875123600906834,2.140413491825978,1000,0.0054600379724996095,0.002908171303932028
S0,264,6,unknown,20,13,2.036526578853732,1.881310436887213,0.1967215831738005,1.6309225448892946,1.88110343320047,2.139352825595653,1000,13,2.042538950124043,1.886857404915859,0.1971299485750016,1.634595028690918,1.883393230813665,2.1445242876609782,1000,0.005546968028646182,0.002948459711850698
S0,264,12,rising,5,74,3.34514541188389,3.294590562028502,0.1967549839201212,3.0405215810839747,3.3000900311683186,3.5411310890697485,1000,74,3.382675971841816,3.326082023111999,0.2115829013655577,3.0445600479357955,3.3302425504765383,3.586292803862304,1000,0.031491461083497096,0.009558535572355791
